2	16	4	4	4	4	4
1	1	16	16	4	4	2
1	1	16	2	2	4	4
1	1	16	2	3	2	2
1	1	16	2	4	4	2
1	1	16	4	1	2	2
1	1	16	4	4	4	2
1	1	1	1	1	1	1
1	1	1	2	2	16	2
1	1	1	2	2	1	16
1	1	1	2	2	1	2
2	1	1	2	2	1	4
2	1	1	2	2	2	2
1	1	1	2	2	3	2
2	1	1	2	2	4	2
1	1	1	2	3	2	16
1	1	1	2	4	1	2
1	1	1	2	4	2	2
1	1	1	2	4	4	2
1	1	1	4	4	1	4
1	1	1	4	4	4	2
1	1	2	16	2	2	2
1	1	2	16	2	4	2
1	1	2	16	3	4	2
3	1	2	1	2	2	2
2	1	2	2	1	2	2
1	1	2	2	2	16	2
20	1	2	2	2	2	2
1	1	2	2	2	2	4
38	1	2	2	2	4	2
1	1	2	2	2	4	4
1	1	2	2	4	1	4
2	1	2	2	4	2	2
15	1	2	2	4	4	2
1	1	2	2	4	4	4
1	1	2	3	2	4	2
1	1	2	4	1	1	2
1	1	2	4	1	2	2
1	1	2	4	2	4	2
1	1	2	4	4	1	2
2	1	2	4	4	4	2
1	1	3	1	1	2	2
1	1	3	1	2	2	2
1	1	3	2	2	2	2
1	1	4	16	3	4	2
1	1	4	1	2	2	1
1	1	4	1	2	4	2
1	1	4	1	3	4	2
4	1	4	2	2	2	2
5	1	4	2	2	4	2
4	1	4	2	4	4	2
3	1	4	3	4	4	2
1	1	4	4	2	2	1
9	1	4	4	4	4	2
2	2	16	16	16	2	2
1	2	16	16	2	2	16
9	2	16	16	2	2	2
1	2	16	16	2	4	16
24	2	16	16	2	4	2
1	2	16	16	4	2	2
1	2	16	16	4	4	1
9	2	16	16	4	4	2
1	2	16	16	4	4	4
1	2	16	1	1	2	2
1	2	16	1	2	2	2
1	2	16	1	4	4	2
1	2	16	2	1	16	2
3	2	16	2	2	16	2
24	2	16	2	2	2	2
2	2	16	2	2	4	16
2	2	16	2	2	4	1
114	2	16	2	2	4	2
1	2	16	2	2	4	4
5	2	16	2	4	2	2
1	2	16	2	4	3	2
1	2	16	2	4	4	1
68	2	16	2	4	4	2
2	2	16	2	4	4	4
1	2	16	3	2	16	4
1	2	16	3	4	4	2
1	2	16	4	1	2	2
1	2	16	4	1	4	2
16	2	16	4	2	4	2
1	2	16	4	3	16	2
1	2	16	4	3	4	2
1	2	16	4	4	1	2
5	2	16	4	4	2	2
1	2	16	4	4	4	16
77	2	16	4	4	4	2
2	2	16	4	4	4	4
1	2	1	16	2	16	16
1	2	1	16	2	4	2
1	2	1	16	4	4	2
1	2	1	1	2	4	16
1	2	1	2	1	2	2
1	2	1	2	1	4	2
3	2	1	2	2	16	2
15	2	1	2	2	2	2
1	2	1	2	2	2	4
41	2	1	2	2	4	2
1	2	1	2	3	16	2
2	2	1	2	4	1	2
3	2	1	2	4	2	2
15	2	1	2	4	4	2
1	2	1	3	2	2	2
1	2	1	3	2	4	2
1	2	1	4	2	2	2
1	2	1	4	2	3	2
2	2	1	4	2	4	2
3	2	1	4	4	1	16
7	2	1	4	4	1	2
3	2	1	4	4	1	4
4	2	1	4	4	2	2
1	2	1	4	4	2	3
17	2	1	4	4	4	2
3	2	1	4	4	4	4
1	2	2	16	16	2	16
8	2	2	16	16	2	2
1	2	2	16	1	1	4
1	2	2	16	1	3	2
2	2	2	16	1	4	2
1	2	2	16	2	16	16
6	2	2	16	2	16	2
2	2	2	16	2	1	2
4	2	2	16	2	2	16
1	2	2	16	2	2	1
131	2	2	16	2	2	2
3	2	2	16	2	2	4
1	2	2	16	2	3	2
8	2	2	16	2	4	2
1	2	2	16	3	2	2
1	2	2	16	4	1	2
5	2	2	16	4	2	2
2	2	2	16	4	4	2
1	2	2	1	1	16	2
2	2	2	1	1	2	2
2	2	2	1	1	4	2
